AccountIndustry,AccountName,AccountOwner,AccountId,Amount,CloseDate,DaysSinceLastActivity,ForecastCategory,Id,IsClosed,IsWon,OpportunityName,OpportunityAge,OpportunityOwner,OwnerId,RecordTypeName,StageName,Stage,LeadSource,StageSortOrder,TimeInStageDurationSeconds,Probability,analyticsdemo_batch_id__c
Apparel,Tyler-Lawrence Inc,Kristen Hughes,001B000000bwMSUIA2,1000,2019-05-08,23,Best Case,006B0000003n27DIAQ,false,false,Tyler-Lawrence Inc 158,62,Beth Crawford,005B0000003CnfKIAS,Simple,Closed Lost,Proposal/Quote,Fields Sales,5,4397920,75,20190709111258551478
Environmental,Rehau,Ann Jones,001B000000SS3VLIA1,20000,2018-11-27,196,Omitted,006B0000003n27MIAQ,true,false,Rehau 132,95,Amy Shaw,005B0000003CnfgIAC,Simple,Closed Lost,Closed Lost,Reseller,9,38857971,0,20190709111258551478
Engineering,SolveTech Corporation,Rachel Reilly,001B000000SS4WyIAL,50613,2019-03-28,37,Best Case,006B0000003n27TIAQ,false,false,SolveTech Corporation 48,81,Rachel Reilly,005B0000003CnfYIAS,Simple,Closed Lost,Proposal/Quote,Fields Sales,5,18804351,75,20190709111258551478
Engineering,Foam Designorporated,Ann Jones,001B000000bwMSYIA2,1802,2019-01-15,126,Closed,006B0000003n27bIAA,true,true,Foam Designorporated 8,115,Alyssa Williams,005B0000003CnfXIAS,Channel (Partner),Closed Won,Closed Won,Fields Sales,8,8307079,100,20190709111258551478
Manufacturing,Beck Oil,Kristen Hughes,001B000000bwMSfIAM,100000,2019-03-01,20,Best Case,006B0000003n280IAA,false,false,Beck Oil 196,62,Alicia Harrison,005B0000003CnfZIAS,Channel (Partner),Closed Lost,Negotiation,Reseller,7,18804351,90,20190709111258551478
Transportation,Swat Fame,Ann Jones,001B000000WJDyKIAX,19535,2018-10-06,161,Omitted,006B0000003n28CIAQ,true,false,Swat Fame 206,61,Ann Jones,005B0000003CnfWIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,38857971,0,20190709111258551478
Insurance,Dynarex Corporation / Tillotson Healthcare Division,Kristen Hughes,001B000000SS3WdIAL,75000,2018-10-13,149,Omitted,006B0000003n28aIAA,true,false,Dynarex Corporation / Tillotson Healthcare Division 242,25,Amy Shaw,005B0000003CnfgIAC,Simple,Closed Lost,Closed Lost,Fields Sales,9,38857971,0,20190709111258551478
Electronics,Standard Motor Products,Jordan Wolf,001B000000SS4XhIAL,775,2018-03-03,399,Omitted,006B0000003n28xIAA,true,false,Standard Motor Products 36,63,Jordan Wolf,005B0000003CnfQIAS,Simple,Closed Lost,Closed Lost,Reseller,9,35312621,0,20190709111258551478
Financial Services,Hy  Security Gate Operators,Rachel Reilly,001B000000WJDyfIAH,7500,2018-10-19,236,Omitted,006B0000003n295IAA,true,false,Hy  Security Gate Operators 193,103,Rachel Reilly,005B0000003CnfYIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,16383757,0,20190709111258551478
Electronics,Compuwave,Ann Jones,001B000000SS3XAIA1,42629,2018-05-05,319,Omitted,006B0000003n29FIAQ,true,false,Compuwave 197,12,Ann Jones,005B0000003CnfWIAS,Simple,Closed Lost,Closed Lost,Reseller,9,26801135,0,20190709111258551478
Insurance,Aaa First Express Inc,Megan Kaufman,001B000000lwNoMIAU,83000,2019-04-13,16,Best Case,006B0000003n29SIAQ,false,false,Aaa First Express Inc 169,21,Megan Kaufman,005B0000003CnfRIAS,Simple,Closed Lost,Discovery,Fields Sales,0,954732,0,20190709111258551478
Electronics,VertaSearch,Kristen Hughes,001B000000SS3XTIA1,7751,2018-10-11,170,Omitted,006B0000003n29VIAQ,true,false,VertaSearch 19,26,Jordan Wolf,005B0000003CnfQIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,13288303,0,20190709111258551478
Shipping,Ain Plastics,Jordan Wolf,001B000000lwNoPIAU,50000,2018-07-10,308,Omitted,006B0000003n29dIAA,true,false,Ain Plastics 130,85,Jordan Wolf,005B0000003CnfQIAS,Simple,Closed Lost,Closed Lost,Reseller,9,24226396,0,20190709111258551478
Consulting,Levi Ray & Shoup Inc,Amy Shaw,001B000000bwMT6IAM,25000,2018-10-19,142,Omitted,006B0000003n29iIAA,true,false,Levi Ray & Shoup Inc 34,31,Amy Shaw,005B0000003CnfgIAC,Simple,Closed Lost,Closed Lost,Reseller,9,12716833,0,20190709111258551478
Construction,E Commerce Group,Rachel Reilly,001B000000bwMT9IAM,3875,2019-04-11,21,Best Case,006B0000003n29mIAA,false,false,E Commerce Group 119,63,Kristen Hughes,005B0000003CnfSIAS,Simple,Closed Lost,Discovery,Reseller,0,18804351,0,20190709111258551478
Consulting,Broadwing Managed Hosting,Ann Jones,001B000000SS3YAIA1,10000,2019-04-09,23,Commit,006B0000003n2AGIAY,false,false,Broadwing Managed Hosting 81,32,Ann Jones,005B0000003CnfWIAS,Simple,Closed Lost,Qualification,Reseller,2,18804163,20,20190709111258551478
Retail,Nexsi Corporation,Alyssa Williams,001B000000SS3YIIA1,7500,2018-03-08,418,Omitted,006B0000003n2AQIAY,true,false,Nexsi Corporation 240,95,Alyssa Williams,005B0000003CnfXIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,38857971,0,20190709111258551478
Technology,Avention,Jordan Wolf,001B000000SS4YkIAL,17442,2018-10-10,174,Omitted,006B0000003n2AjIAI,true,false,Avention 126,40,Jordan Wolf,005B0000003CnfQIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,13581765,0,20190709111258551478
Apparel,MoonFruit USA,Alyssa Williams,001B000000lwNoZIAU,25000,2019-02-14,36,Omitted,006B0000003n2AmIAI,true,false,MoonFruit USA 214,80,Ann Jones,005B0000003CnfWIAS,Simple,Closed Lost,Closed Lost,Other,9,38857953,0,20190709111258551478
Apparel,MoonFruit USA,Alyssa Williams,001B000000lwNoZIAU,79000,2019-01-12,106,Omitted,006B0000003n2AnIAI,true,false,MoonFruit USA 216,70,Alyssa Williams,005B0000003CnfXIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,5975195,0,20190709111258551478
Apparel,MoonFruit USA,Alyssa Williams,001B000000lwNoZIAU,40698,2018-07-02,296,Omitted,006B0000003n2AoIAI,true,false,MoonFruit USA 217,97,Beth Crawford,005B0000003CnfKIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,22056787,0,20190709111258551478
Consulting,Weiser Lock,Alicia Harrison,001B000000WJDzLIAX,20000,2019-03-26,31,Best Case,006B0000003n2ApIAI,false,false,Weiser Lock 238,53,Alicia Harrison,005B0000003CnfZIAS,Simple,Closed Lost,Proposal/Quote,Reseller,5,4397901,75,20190709111258551478
Construction,UCLA Anderson School of Management,Courtney Brown,001B000000SS3Z0IAL,500000,2019-04-18,5,Commit,006B0000003n2B1IAI,false,false,UCLA Anderson School of Management 91,9,Courtney Brown,005B0000003CnfVIAS,Simple,Closed Lost,Qualification,Fields Sales,2,4397901,20,20190709111258551478
Other,Formation,Megan Kaufman,001B000000SS3ZDIA1,28000,2019-04-28,12,Pipeline,006B0000003n2BCIAY,false,false,Formation 59,42,Megan Kaufman,005B0000003CnfRIAS,Simple,Closed Lost,Discovery,Fields Sales,0,2951309,0,20190709111258551478
Machinery,Marex,Sheri Nunez,001B000000WJDzgIAH,12500,2017-12-26,449,Omitted,006B0000003n2BKIAY,true,false,Marex 234,52,Alyssa Williams,005B0000003CnfXIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,39377146,0,20190709111258551478
Technology,CC Communications Inc,Amy Shaw,001B000000bwMTQIA2,5000,2018-11-20,133,Omitted,006B0000003n2BRIAY,true,false,CC Communications Inc 5,26,Amy Shaw,005B0000003CnfgIAC,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,38857953,0,20190709111258551478
Not For Profit,Sentigy Network Solutions,Jordan Wolf,001B000000SS3ZoIAL,16447,2019-02-17,54,Omitted,006B0000003n2BtIAI,true,false,Sentigy Network Solutions 217,57,Beth Crawford,005B0000003CnfKIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,38857953,0,20190709111258551478
Manufacturing,Information Integration Inc,Amy Shaw,001B000000lwNopIAE,30132,2019-02-03,90,Closed,006B0000003n2BzIAI,true,true,Information Integration Inc 71,87,Ann Jones,005B0000003CnfWIAS,Simple,Closed Won,Closed Won,Other,8,38857953,100,20190709111258551478
Hospitality,staffuniversity,Kristen Hughes,001B000000SS4ZTIA1,38754,2017-09-27,529,Omitted,006B0000003n2CAIAY,true,false,staffuniversity 194,29,Kristen Hughes,005B0000003CnfSIAS,Channel (Partner),Closed Lost,Closed Lost,Other,9,46654001,0,20190709111258551478
Apparel,TMA Systems,Jordan Wolf,001B000000bwMTXIA2,23252,2018-11-27,142,Closed,006B0000003n2CFIAY,true,true,TMA Systems 51,89,Jordan Wolf,005B0000003CnfQIAS,Simple,Closed Won,Closed Won,Reseller,8,38857953,100,20190709111258551478
Agriculture,Auto-Trol Technology Corporation,Sheri Nunez,001B000000WJE03IAH,24540,2018-03-31,372,Omitted,006B0000003n2CZIAY,true,false,Auto-Trol Technology Corporation 120,89,Rachel Reilly,005B0000003CnfYIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,32116236,0,20190709111258551478
Machinery,Camden County Brd-Freeholders,Alyssa Williams,001B000000WJE05IAH,20000,2018-09-21,170,Omitted,006B0000003n2CeIAI,true,false,Camden County Brd-Freeholders 237,45,Megan Kaufman,005B0000003CnfRIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,38857953,0,20190709111258551478
Apparel,Empress International Ltd.,Sheri Nunez,001B000000WJE06IAH,25000,2018-09-11,187,Omitted,006B0000003n2CfIAI,true,false,Empress International Ltd. 249,84,Sheri Nunez,005B0000003CnfTIAS,Simple,Closed Lost,Closed Lost,Reseller,9,21530787,0,20190709111258551478
Agriculture,PADEN ENTERPRISE,Rachel Reilly,001B000000bwMTtIAM,30675,2017-10-05,541,Omitted,006B0000003n2DFIAY,true,false,PADEN ENTERPRISE 111,45,Rachel Reilly,005B0000003CnfYIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,46461692,0,20190709111258551478
Electronics,CrownPeak Technology,Courtney Brown,001B000000lwNp1IAE,75000,2019-03-22,37,Best Case,006B0000003n2DOIAY,false,false,CrownPeak Technology 2,39,Courtney Brown,005B0000003CnfVIAS,Simple,Closed Lost,Discovery,Fields Sales,0,18804163,0,20190709111258551478
Education,Kilcreggan Enterprises,Rachel Reilly,001B000000bwMTwIAM,55000,2019-02-14,46,Omitted,006B0000003n2DTIAY,true,false,Kilcreggan Enterprises 109,79,Sheri Nunez,005B0000003CnfTIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,38857953,0,20190709111258551478
Shipping,Affiliated Computer Services-Dallas,Kristen Hughes,001B000000UkRxOIAV,17500,2018-01-04,428,Omitted,006B0000003n2DsIAI,true,false,Affiliated Computer Services-Dallas 153,5,Ann Jones,005B0000003CnfWIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,37146347,0,20190709111258551478
Financial Services,OSRAM Opto Semiconductors,Kristen Hughes,001B000000WJE0XIAX,9868,2019-03-19,5,Commit,006B0000003n2DtIAI,false,false,OSRAM Opto Semiconductors 166,54,Kristen Hughes,005B0000003CnfSIAS,Simple,Closed Lost,Negotiation,Reseller,7,4397884,90,20190709111258551478
Food & Beverage,Compass Media,Megan Kaufman,001B000000bwMU2IAM,6579,2018-01-16,454,Omitted,006B0000003n2DxIAI,true,false,Compass Media 255,54,Megan Kaufman,005B0000003CnfRIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,37108702,0,20190709111258551478
Machinery,Global Software,Alicia Harrison,001B000000SS4a7IAD,15337,2018-09-18,176,Omitted,006B0000003n2DyIAI,true,false,Global Software 27,25,Alicia Harrison,005B0000003CnfZIAS,Simple,Closed Lost,Closed Lost,Reseller,9,38857935,0,20190709111258551478
Manufacturing,Cosmetic Essence Inc,Courtney Brown,001B000000SS4a8IAD,10000,2019-01-25,81,Omitted,006B0000003n2E1IAI,true,false,Cosmetic Essence Inc 50,63,Courtney Brown,005B0000003CnfVIAS,Simple,Closed Lost,Closed Lost,Telesales,9,5628854,0,20190709111258551478
Manufacturing,Branuity,Courtney Brown,001B000000SS3bMIAT,11628,2018-03-18,406,Omitted,006B0000003n2E4IAI,true,false,Branuity 72,55,Courtney Brown,005B0000003CnfVIAS,Simple,Closed Lost,Closed Lost,Reseller,9,32066822,0,20190709111258551478
Food & Beverage,Music Semiconductors,Courtney Brown,001B000000WJE0aIAH,19377,2018-12-08,120,Omitted,006B0000003n2E6IAI,true,false,Music Semiconductors 96,45,Courtney Brown,005B0000003CnfVIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,8307676,0,20190709111258551478
Recreation,Sales Solutions,Alicia Harrison,001B000000SS3bTIAT,15000,2018-04-06,356,Omitted,006B0000003n2ELIAY,true,false,Sales Solutions 19,25,Alicia Harrison,005B0000003CnfZIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,29608545,0,20190709111258551478
Manufacturing,Recovery Solutions Inc,Rachel Reilly,001B000000SS3bgIAD,22750,2017-10-14,510,Omitted,006B0000003n2EaIAI,true,false,Recovery Solutions Inc 241,0,Rachel Reilly,005B0000003CnfYIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,44018135,0,20190709111258551478
Financial Services,Oclaro,Megan Kaufman,001B000000SS4ajIAD,47500,2018-01-06,435,Omitted,006B0000003n2FHIAY,true,false,Oclaro 109,47,Megan Kaufman,005B0000003CnfRIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,37022612,0,20190709111258551478
Healthcare & Life Sciences,Debis IT,Kristen Hughes,001B000000lwNpMIAU,23848,2019-03-27,28,Commit,006B0000003n2FJIAY,false,false,Debis IT 142,32,Beth Crawford,005B0000003CnfKIAS,Channel (Partner),Closed Won,Discovery,Reseller,0,18804163,0,20190709111258551478
Insurance,800.com Inc,Beth Crawford,001B000000SS4alIAD,22500,2018-11-30,128,Omitted,006B0000003n2FSIAY,true,false,800.com Inc 19,46,Jordan Wolf,005B0000003CnfQIAS,Simple,Closed Lost,Closed Lost,Telesales,9,38857935,0,20190709111258551478
Other,Forrest Binkley & Brown,Alyssa Williams,001B000000SS3cLIAT,27000,2019-03-05,27,Best Case,006B0000003n2FbIAI,false,false,Forrest Binkley & Brown 124,80,Alyssa Williams,005B0000003CnfXIAS,Simple,Closed Lost,Negotiation,Reseller,7,18804163,90,20190709111258551478
Agriculture,le Blanc Broadcast Inc,Amy Shaw,001B000000SS3cOIAT,27500,2018-11-02,132,Omitted,006B0000003n2FeIAI,true,false,le Blanc Broadcast Inc 168,26,Amy Shaw,005B0000003CnfgIAC,Simple,Closed Lost,Closed Lost,Telesales,9,11336470,0,20190709111258551478
Other,Edison International,Kristen Hughes,001B000000SS3cSIAT,9301,2018-10-22,186,Omitted,006B0000003n2FjIAI,true,false,Edison International 239,77,Kristen Hughes,005B0000003CnfSIAS,Simple,Closed Lost,Closed Lost,Reseller,9,38857935,0,20190709111258551478
Retail,Lead411,Rachel Reilly,001B000000WJE19IAH,5000,2018-10-07,158,Omitted,006B0000003n2FvIAI,true,false,Lead411 138,25,Jordan Wolf,005B0000003CnfQIAS,Simple,Closed Lost,Closed Lost,Reseller,9,38857935,0,20190709111258551478
Technology,Digital River,Amy Shaw,001B000000WJE1HIAX,200000,2018-12-07,104,Omitted,006B0000003n2GJIAY,true,false,Digital River 0,31,Amy Shaw,005B0000003CnfgIAC,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,38857935,0,20190709111258551478
Agriculture,Industrial Logic Controls,Jordan Wolf,001B000000WJE1TIAX,15000,2018-07-25,228,Omitted,006B0000003n2H7IAI,true,false,Industrial Logic Controls 59,2,Jordan Wolf,005B0000003CnfQIAS,Simple,Closed Lost,Closed Lost,Reseller,9,19479444,0,20190709111258551478
Machinery,Brookshire Grocery Company,Courtney Brown,001B000000SS3dpIAD,50500,2018-09-09,218,Omitted,006B0000003n2HBIAY,true,false,Brookshire Grocery Company 168,64,Courtney Brown,005B0000003CnfVIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,17062538,0,20190709111258551478
Media,Cash America International,Kristen Hughes,001B000000SS3e6IAD,32895,2018-07-19,232,Omitted,006B0000003n2HeIAI,true,false,Cash America International 9,59,Kristen Hughes,005B0000003CnfSIAS,Simple,Closed Lost,Closed Lost,Reseller,9,22315132,0,20190709111258551478
Technology,Real Estate Forum,Beth Crawford,001B000000SS3e7IAD,100000,2018-12-04,124,Omitted,006B0000003n2HfIAI,true,false,Real Estate Forum 44,35,Ann Jones,005B0000003CnfWIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,38857917,0,20190709111258551478
Media,Proofpoint,Courtney Brown,001B000000SS3eCIAT,15501,2018-05-05,308,Omitted,006B0000003n2HmIAI,true,false,Proofpoint 152,33,Courtney Brown,005B0000003CnfVIAS,Simple,Closed Lost,Closed Lost,Telecoverage,9,27705026,0,20190709111258551478
Consulting,Nabors Corporate Services,Amy Shaw,001B000000SS3ePIAT,50000,2018-12-05,140,Omitted,006B0000003n2HvIAI,true,false,Nabors Corporate Services 172,55,Amy Shaw,005B0000003CnfgIAC,Simple,Closed Lost,Closed Lost,Telecoverage,9,38857917,0,20190709111258551478
Agriculture,Sanmina SCI Technology,Alyssa Williams,001B000000SS4cWIAT,5000,2018-09-21,209,Omitted,006B0000003n2ILIAY,true,false,Sanmina SCI Technology 149,46,Alyssa Williams,005B0000003CnfXIAS,Simple,Closed Lost,Closed Lost,Reseller,9,38857917,0,20190709111258551478
Education,Jones Plastic and Engineering Company,Ann Jones,001B000000SS4cZIAT,175000,2017-09-24,540,Omitted,006B0000003n2IRIAY,true,false,Jones Plastic and Engineering Company 228,26,Ann Jones,005B0000003CnfWIAS,Simple,Closed Lost,Closed Lost,Reseller,9,45776682,0,20190709111258551478
Recreation,Accsellerate,Beth Crawford,001B000000SS3euIAD,38754,2018-01-20,422,Omitted,006B0000003n2IbIAI,true,false,Accsellerate 145,35,Beth Crawford,005B0000003CnfKIAS,Simple,Closed Lost,Closed Lost,Reseller,9,36701228,0,20190709111258551478
Technology,Anadigm,Kristen Hughes,001B000000SS3ewIAD,100000,2018-10-26,132,Omitted,006B0000003n2IgIAI,true,false,Anadigm 175,0,Kristen Hughes,005B0000003CnfSIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,11426572,0,20190709111258551478
Environmental,Demoulas Super Markets,Amy Shaw,001B000000SS4czIAD,150000,2018-04-21,363,Omitted,006B0000003n2IvIAI,true,false,Demoulas Super Markets 53,46,Amy Shaw,005B0000003CnfgIAC,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,29392980,0,20190709111258551478
Apparel,IronRhino,Alicia Harrison,001B000000WJE2CIAX,2500,2019-03-04,29,Pipeline,006B0000003n2J5IAI,false,false,IronRhino 168,39,Alicia Harrison,005B0000003CnfZIAS,Channel (Partner),Closed Lost,Discovery,Reseller,0,18804162,0,20190709111258551478
Construction,DSG Productions,Ann Jones,001B000000SS4dFIAT,250000,2017-12-11,484,Omitted,006B0000003n2JRIAY,true,false,DSG Productions 197,40,Jordan Wolf,005B0000003CnfQIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,39331854,0,20190709111258551478
Construction,Bank & Office Interiors,Sheri Nunez,001B000000SS3fvIAD,3750,2018-04-17,327,Omitted,006B0000003n2JzIAI,true,false,Bank & Office Interiors 224,19,Sheri Nunez,005B0000003CnfTIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,28252941,0,20190709111258551478
Food & Beverage,Equistar Chemicals   LP,Alicia Harrison,001B000000SS3g3IAD,750,2018-12-31,78,Omitted,006B0000003n2K8IAI,true,false,Equistar Chemicals   LP 165,29,Alicia Harrison,005B0000003CnfZIAS,Simple,Closed Lost,Closed Lost,Reseller,9,38857917,0,20190709111258551478
Food & Beverage,Impressa Inc,Megan Kaufman,001B000000lwNpvIAE,49500,2018-09-30,173,Omitted,006B0000003n2KCIAY,true,false,Impressa Inc 205,25,Megan Kaufman,005B0000003CnfRIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,38857917,0,20190709111258551478
Utilities,PowerPlus Systems Corporation,Amy Shaw,001B000000WJE2OIAX,90000,2019-03-04,39,Best Case,006B0000003n2KEIAY,false,false,PowerPlus Systems Corporation 229,46,Amy Shaw,005B0000003CnfgIAC,Simple,Closed Lost,Proposal/Quote,Reseller,5,1967663,75,20190709111258551478
Agriculture,Hebert Research,Ann Jones,001B000000SS3gLIAT,82739,2018-03-06,399,Closed,006B0000003n2KPIAY,true,true,Hebert Research 222,34,Jordan Wolf,005B0000003CnfQIAS,Simple,Closed Won,Closed Won,Reseller,8,32075911,100,20190709111258551478
Other,Alliance HealthCare Services,Jordan Wolf,001B000000SS3gWIAT,50000,2018-11-21,125,Omitted,006B0000003n2KgIAI,true,false,Alliance HealthCare Services 2,20,Jordan Wolf,005B0000003CnfQIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,38857900,0,20190709111258551478
Recreation,St. John  s Mercy Health Care,Megan Kaufman,001B000000SS3gYIAT,6977,2017-09-27,556,Closed,006B0000003n2KiIAI,true,true,St. John  s Mercy Health Care 25,35,Megan Kaufman,005B0000003CnfRIAS,Channel (Partner),Closed Won,Closed Won,Other,8,46064017,100,20190709111258551478
Utilities,Dimare Fresh Inc,Beth Crawford,001B000000SS4dwIAD,75000,2019-02-19,22,Omitted,006B0000003n2L2IAI,true,false,Dimare Fresh Inc 126,8,Amy Shaw,005B0000003CnfgIAC,Simple,Closed Lost,Closed Lost,Fields Sales,9,1479690,0,20190709111258551478
Utilities,Dimare Fresh Inc,Beth Crawford,001B000000SS4dwIAD,375000,2018-04-22,327,Omitted,006B0000003n2L3IAI,true,false,Dimare Fresh Inc 150,14,Ann Jones,005B0000003CnfWIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,27750969,0,20190709111258551478
Food & Beverage,Image Technologies Corp,Jordan Wolf,001B000000bwMVaIAM,55000,2019-02-06,36,Omitted,006B0000003n2LGIAY,true,false,Image Technologies Corp 113,10,Ann Jones,005B0000003CnfWIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,38857900,0,20190709111258551478
Consulting,Enjet Inc,Beth Crawford,001B000000SS4e5IAD,24671,2018-04-10,333,Closed,006B0000003n2LIIAY,true,true,Enjet Inc 134,29,Beth Crawford,005B0000003CnfKIAS,Channel (Partner),Closed Won,Closed Won,Reseller,8,29509731,100,20190709111258551478
Environmental,Military LivingÃ‚Â® Publications,Sheri Nunez,001B000000UkRxQIAV,4044,2018-09-13,190,Closed,006B0000003n2LLIAY,true,true,Military LivingÃ‚Â® Publications 202,36,Alyssa Williams,005B0000003CnfXIAS,Simple,Closed Won,Closed Won,Reseller,8,16173199,100,20190709111258551478
Engineering,Tonerzone Com Inc,Courtney Brown,001B000000WJE2kIAH,104651,2018-04-23,318,Omitted,006B0000003n2LNIAY,true,false,Tonerzone Com Inc 0,0,Courtney Brown,005B0000003CnfVIAS,Simple,Closed Lost,Closed Lost,Reseller,9,27493372,0,20190709111258551478
Banking,Conclusive Marketing,Kristen Hughes,001B000000SS4eDIAT,25000,2017-08-11,586,Omitted,006B0000003n2LQIAY,true,false,Conclusive Marketing 75,16,Kristen Hughes,005B0000003CnfSIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,50126228,0,20190709111258551478
Transportation,Tiron America,Jordan Wolf,001B000000WJE2rIAH,100000,2018-07-26,237,Omitted,006B0000003n2LpIAI,true,false,Tiron America 224,19,Jordan Wolf,005B0000003CnfQIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,19840094,0,20190709111258551478
Other,@The Moment Inc.,Amy Shaw,001B000000SS3hfIAD,4000,2019-04-08,4,Best Case,006B0000003n2LwIAI,false,false,@The Moment Inc. 104,4,Amy Shaw,005B0000003CnfgIAC,Simple,Closed Lost,Qualification,Fields Sales,2,4397716,20,20190709111258551478
Banking,Babcock & Jenkins,Beth Crawford,001B000000SS3hkIAD,36,2018-11-25,118,Closed,006B0000003n2M2IAI,true,true,Babcock & Jenkins 188,35,Beth Crawford,005B0000003CnfKIAS,Simple,Closed Won,Closed Won,Other,8,38857728,100,20190709111258551478
Media,Watkins Trucking,Jordan Wolf,001B000000SS3hsIAD,30000,2018-12-24,74,Omitted,006B0000003n2M7IAI,true,false,Watkins Trucking 85,0,Courtney Brown,005B0000003CnfVIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,38857728,0,20190709111258551478
Recreation,Washington Trust Bank.,Alicia Harrison,001B000000lwNq9IAE,844,2018-01-06,455,Closed,006B0000003n2MBIAY,true,true,Washington Trust Bank. 53,31,Sheri Nunez,005B0000003CnfTIAS,Simple,Closed Won,Closed Won,Fields Sales,8,38857728,100,20190709111258551478
Apparel,Alpine Power Systems,Alyssa Williams,001B000000SS4emIAD,2500,2018-09-22,169,Omitted,006B0000003n2MRIAY,true,false,Alpine Power Systems 6,3,Jordan Wolf,005B0000003CnfQIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,38857728,0,20190709111258551478
Consulting,LiveWire Mobile,Alyssa Williams,001B000000UkRxSIAV,17500,2018-07-06,255,Closed,006B0000003n2MbIAI,true,true,LiveWire Mobile 198,27,Alyssa Williams,005B0000003CnfXIAS,Simple,Closed Won,Closed Won,Reseller,8,21889456,100,20190709111258551478
Entertainment,Neogov,Rachel Reilly,001B000000SS3ilIAD,85890,2018-03-12,371,Omitted,006B0000003n2MwIAI,true,false,Neogov 247,15,Rachel Reilly,005B0000003CnfYIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,31261702,0,20190709111258551478
Recreation,Your Community Bank,Beth Crawford,001B000000WJE3QIAX,10000,2018-12-12,106,Omitted,006B0000003n2NXIAY,true,false,Your Community Bank 17,21,Beth Crawford,005B0000003CnfKIAS,Simple,Closed Lost,Closed Lost,Reseller,9,38857728,0,20190709111258551478
Construction,BIZeSITE,Alicia Harrison,001B000000WJE3UIAX,459,2018-03-25,348,Omitted,006B0000003n2NdIAI,true,false,BIZeSITE 190,1,Alicia Harrison,005B0000003CnfZIAS,Simple,Closed Lost,Closed Lost,Reseller,9,30027331,0,20190709111258551478
Construction,BIZeSITE,Alicia Harrison,001B000000WJE3UIAX,40000,2018-11-15,117,Omitted,006B0000003n2NeIAI,true,false,BIZeSITE 200,11,Alicia Harrison,005B0000003CnfZIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,10170317,0,20190709111258551478
Consulting,Insurance Network,Amy Shaw,001B000000WJE3gIAH,12500,2017-09-20,542,Omitted,006B0000003n2O1IAI,true,false,Insurance Network 25,11,Megan Kaufman,005B0000003CnfRIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,46467580,0,20190709111258551478
Manufacturing,Friedman Fleischer & Lowe,Amy Shaw,001B000000sxHlFIAU,3031,2017-07-29,586,Closed,006B0000003n2O2IAI,true,true,Friedman Fleischer & Lowe 42,0,Amy Shaw,005B0000003CnfgIAC,Simple,Closed Won,Closed Won,Reseller,8,50652172,100,20190709111258551478
Chemicals,Hotbar.com,Alyssa Williams,001B000000WJE3kIAH,2500,2018-09-08,192,Omitted,006B0000003n2OBIAY,true,false,Hotbar.com 189,13,Alyssa Williams,005B0000003CnfXIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,38857728,0,20190709111258551478
Government,Legacy Transformational,Courtney Brown,001B000000bwMW6IAM,5000,2018-12-07,90,Closed,006B0000003n2OJIAY,true,true,Legacy Transformational 18,0,Courtney Brown,005B0000003CnfVIAS,Simple,Closed Won,Closed Won,Reseller,8,38857728,100,20190709111258551478
