"AccountIndustry","AccountName","AccountOwner","AccountId","Amount","CloseDate","DaysSinceLastActivity","ForecastCategory","Id","IsClosed","IsWon","OpportunityName","OpportunityAge","OpportunityOwner","OwnerId","RecordTypeName","StageName","Stage","LeadSource","StageSortOrder","TimeInStageDurationSeconds","Probability"
"Financial Services","Michael Day Enterprises","Ann Jones","001B000000SS41ZIAT",14529,"2019-05-17",31,"Pipeline","006B0000003n2hOIAQ","false","false","Michael Day Enterprises 68",38,"Ann Jones","005B0000003CnfWIAS","Simple","Closed Won","Qualification","Reseller",2,15817037,20
"Telecommunications","Software Performance Systems   Inc","Sheri Nunez","001B000000SS41aIAD",170000,"2019-04-17",23,"Best Case","006B0000003n2hRIAQ","false","false","Software Performance Systems   Inc 86",63,"Sheri Nunez","005B0000003CnfTIAS","Simple","Closed Lost","Proposal/Quote","Reseller",5,4397498,75
"Technology","Fidelity","Courtney Brown","001B000000SS4r2IAD",125000,"2019-04-15",12,"Pipeline","006B0000003n2hVIAQ","false","false","Fidelity 119",67,"Courtney Brown","005B0000003CnfVIAS","Simple","Closed Lost","Negotiation","Telecoverage",7,4397498,90
"Environmental","Door To Door Storage","Megan Kaufman","001B000000bwMZQIA2",90192,"2018-02-21",426,"Closed","006B0000003n2hWIAQ","true","true","Door To Door Storage 121",67,"Sheri Nunez","005B0000003CnfTIAS","Simple","Closed Won","Closed Won","Reseller",8,38857521,100
"Environmental","Door To Door Storage","Megan Kaufman","001B000000bwMZQIA2",24540,"2017-11-25",512,"Omitted","006B0000003n2hXIAQ","true","false","Door To Door Storage 122",57,"Amy Shaw","005B0000003CnfgIAC","Channel (Partner)","Closed Lost","Closed Lost","Fields Sales",9,38857521,0
"Financial Services","Colliers International - Boston","Courtney Brown","001B000000bwMZRIA2",24096,"2018-10-31",189,"Omitted","006B0000003n2hYIAQ","true","false","Kaplan Tutoring 128",68,"Kristen Hughes","005B0000003CnfSIAS","Simple","Closed Lost","Closed Lost","Reseller",9,38857521,0
"Utilities","EnteGreat","Alyssa Williams","001B000000SS40WIAT",24540,"2017-06-01",711,"Closed","006B0000003n2hZIAQ","true","true","Predictive Business Intelligence 167",97,"Sheri Nunez","005B0000003CnfTIAS","Simple","Closed Won","Closed Won","Other",8,38857521,100
"Entertainment","ManagedVentures.com","Rachel Reilly","001B000000SS4qMIAT",13000,"2018-11-08",142,"Closed","006B0000003n2haIAA","true","true","LRN Corporation 185",88,"Beth Crawford","005B0000003CnfKIAS","Simple","Closed Won","Closed Won","Reseller",8,38857521,100
"Entertainment","ManagedVentures.com","Rachel Reilly","001B000000SS4qMIAT",17500,"2018-11-19",146,"Closed","006B0000003n2hbIAA","true","true","LRN Corporation 192",91,"Sheri Nunez","005B0000003CnfTIAS","Channel (Partner)","Closed Won","Closed Won","Fields Sales",8,38857521,100
"Food & Beverage","AgroFresh","Jordan Wolf","001B000000WJE9tIAH",11626,"2018-12-08",168,"Closed","006B0000003n2hcIAA","true","true","AgroFresh 223",90,"Jordan Wolf","005B0000003CnfQIAS","Simple","Closed Won","Closed Won","Fields Sales",8,10902894,100
"Financial Services","Pint Size Corporation","Beth Crawford","001B000000SS40ZIAT",76687,"2017-08-26",568,"Omitted","006B0000003n2hdIAA","true","false","SIP Technology & Export LTD 240",25,"Sheri Nunez","005B0000003CnfTIAS","Simple","Closed Lost","Closed Lost","Fields Sales",9,38857521,0
"Banking","Parkway Motors","Alicia Harrison","001B000000SS41mIAD",5000,"2018-01-12",437,"Closed","006B0000003n2heIAA","true","true","Parkway Motors 7",55,"Alicia Harrison","005B0000003CnfZIAS","Simple","Closed Won","Closed Won","Reseller",8,37570592,100
"Education","SoftAware Networks","Sheri Nunez","001B000000SS4qPIAT",131000,"2017-05-07",742,"Closed","006B0000003n2hfIAA","true","true","SoftAware Networks 13",86,"Sheri Nunez","005B0000003CnfTIAS","Simple","Closed Won","Closed Won","Fields Sales",8,38857521,100
"Hospitality","Horsehead Holding Corp.","Ann Jones","001B000000WJE9jIAH",3875,"2018-12-12",132,"Closed","006B0000003n2hgIAA","true","true","Horsehead Holding Corp. 28",53,"Ann Jones","005B0000003CnfWIAS","Simple","Closed Won","Closed Won","Telecoverage",8,38857521,100
"Biotechnology","MassMutual","Ann Jones","001B000000SS40cIAD",11963,"2018-05-23",289,"Closed","006B0000003n2hhIAA","true","true","Cellular Technical Services Company 44",87,"Sheri Nunez","005B0000003CnfTIAS","Simple","Closed Won","Closed Won","Reseller",8,38857521,100
"Transportation","SVS Inc","Alyssa Williams","001B000000SS4qQIAT",40500,"2018-02-19",413,"Closed","006B0000003n2hiIAA","true","true","SVS Inc 73",71,"Alyssa Williams","005B0000003CnfXIAS","Channel (Partner)","Closed Won","Closed Won","Fields Sales",8,38857521,100
"Environmental","Aviri","Alicia Harrison","001B000000bwMZkIAM",2475,"2017-10-09",549,"Closed","006B0000003n2i1IAA","true","true","Aviri 57",37,"Alicia Harrison","005B0000003CnfZIAS","Simple","Closed Won","Closed Won","Reseller",8,45250088,100
"Banking","New Internet Computer","Allison Allen","001B000000SS4rNIAT",200000,"2018-03-27",382,"Omitted","006B0000003n2iTIAQ","true","false","New Internet Computer 251",36,"Sheri Nunez","005B0000003CnfTIAS","Simple","Closed Lost","Closed Lost","Fields Sales",9,30820786,0
"Environmental","donco","Sheri Nunez","001B000000bwMZrIAM",25000,"2018-09-29",195,"Omitted","006B0000003n2izIAA","true","false","donco 74",82,"Sheri Nunez","005B0000003CnfTIAS","Channel (Partner)","Closed Lost","Closed Lost","Reseller",9,14099386,0
"Energy","Chicago Steel Limited Partnership","Alyssa Williams","001B000000SS434IAD",36397,"2018-01-07",450,"Closed","006B0000003n2jFIAQ","true","true","Chicago Steel Limited Partnership 137",28,"Alyssa Williams","005B0000003CnfXIAS","Simple","Closed Won","Closed Won","Reseller",8,37484114,100
"Technology","Wishoo","Ann Jones","001B000000SS4rLIAT",303863,"2017-02-13",783,"Closed","006B0000003n2jKIAQ","true","true","National Hockey League 196",30,"Courtney Brown","005B0000003CnfVIAS","Simple","Closed Won","Closed Won","Reseller",8,38857521,100
"Technology","Wishoo","Ann Jones","001B000000SS4rLIAT",40000,"2017-09-15",559,"Closed","006B0000003n2jLIAQ","true","true","National Hockey League 199",33,"Alyssa Williams","005B0000003CnfXIAS","Channel (Partner)","Closed Won","Closed Won","Reseller",8,38857521,100
"Insurance","Mom Brands Company","John Peck","001B000000SS4rMIAT",3348,"2018-07-30",255,"Closed","006B0000003n2jMIAQ","true","true","Firstmark Aerospace Corporation 205",38,"Beth Crawford","005B0000003CnfKIAS","Channel (Partner)","Closed Won","Closed Won","Reseller",8,38857521,100
"Machinery","Sud-Chemie Proformance Pack","Courtney Brown","001B000000SS42BIAT",11626,"2018-11-27",108,"Closed","006B0000003n2jNIAQ","true","true","Sud-Chemie Proformance Pack 214",17,"Courtney Brown","005B0000003CnfVIAS","Simple","Closed Won","Closed Won","Fields Sales",8,38857521,100
"Government","Inetcam","Alicia Harrison","001B000000WJEA4IAP",149505,"2017-11-13",483,"Closed","006B0000003n2jOIAQ","true","true","Inetcam 215",27,"Alicia Harrison","005B0000003CnfZIAS","Simple","Closed Won","Closed Won","Reseller",8,38857521,100
"Entertainment","Liquid Engines","Sheri Nunez","001B000000WJEA7IAP",20500,"2018-02-15",404,"Closed","006B0000003n2jPIAQ","true","true","Liquid Engines 2",29,"Sheri Nunez","005B0000003CnfTIAS","Simple","Closed Won","Closed Won","Fields Sales",8,38857521,100
"Entertainment","Liquid Engines","Sheri Nunez","001B000000WJEA7IAP",29709,"2018-02-27",374,"Closed","006B0000003n2jQIAQ","true","true","Liquid Engines 5",19,"Megan Kaufman","005B0000003CnfRIAS","Simple","Closed Won","Closed Won","Reseller",8,38857521,100
"Insurance","XploreNet","Sheri Nunez","001B000000sxKF7IAM",414000,"2017-04-22",684,"Closed","006B0000003n2jRIAQ","true","true","XploreNet 28",0,"Sheri Nunez","005B0000003CnfTIAS","Simple","Closed Won","Closed Won","Fields Sales",8,59115772,100
"Utilities","Krispy Kreme Doughnuts","Amy Shaw","001B000000SS42FIAT",248024,"2017-11-06",509,"Closed","006B0000003n2jSIAQ","true","true","Krispy Kreme Doughnuts 29",33,"Megan Kaufman","005B0000003CnfRIAS","Channel (Partner)","Closed Won","Closed Won","Reseller",8,38857521,100
"Entertainment","National Federation of Independent Business","Noah Kelly","001B000000bwMZmIAM",2000,"2018-01-22",409,"Closed","006B0000003n2jTIAQ","true","true","LetsTalkRealEstate.com 49",0,"Courtney Brown","005B0000003CnfVIAS","Channel (Partner)","Closed Won","Closed Won","Fields Sales",8,38857521,100
"Banking","New Internet Computer","Allison Allen","001B000000SS4rNIAT",23252,"2018-03-05",376,"Omitted","006B0000003n2jUIAQ","true","false","The Cobalt Group_NEW ORG 64",11,"Beth Crawford","005B0000003CnfKIAS","Simple","Closed Lost","Closed Lost","Reseller",9,38857521,0
"Banking","New Internet Computer","Allison Allen","001B000000SS4rNIAT",16667,"2018-05-31",285,"Omitted","006B0000003n2jVIAQ","true","false","The Cobalt Group_NEW ORG 81",11,"Beth Crawford","005B0000003CnfKIAS","Simple","Closed Lost","Closed Lost","Fields Sales",9,38857521,0
"Banking","New Internet Computer","Allison Allen","001B000000SS4rNIAT",150000,"2018-12-06",94,"Omitted","006B0000003n2jWIAQ","true","false","The Cobalt Group_NEW ORG 94",15,"Megan Kaufman","005B0000003CnfRIAS","Simple","Closed Lost","Closed Lost","Reseller",9,38857521,0
"Financial Services","EarthLink and its affiliates","Courtney Brown","001B000000bwMZnIAM",16500,"2017-05-29",650,"Closed","006B0000003n2jXIAQ","true","true","EarthLink and its affiliates 105",5,"Courtney Brown","005B0000003CnfVIAS","Simple","Closed Won","Closed Won","Fields Sales",8,38857521,100
"Not For Profit","Systems Sales Support","Megan Kaufman","001B000000SS42GIAT",8413,"2018-03-13",361,"Closed","006B0000003n2jYIAQ","true","true","Systems Sales Support 119",3,"Megan Kaufman","005B0000003CnfRIAS","Simple","Closed Won","Closed Won","Reseller",8,38857521,100
"Not For Profit","Systems Sales Support","Megan Kaufman","001B000000SS42GIAT",200000,"2018-03-18",355,"Omitted","006B0000003n2jZIAQ","true","false","Systems Sales Support 129",31,"Amy Shaw","005B0000003CnfgIAC","Simple","Closed Lost","Closed Lost","Reseller",9,38857521,0
"Financial Services","TNS NFO","Philip Walton","001B000000SS42JIAT",15000,"2018-08-21",199,"Omitted","006B0000003n2jaIAA","true","false","Allergy Free LP 187",111,"Alicia Harrison","005B0000003CnfZIAS","Simple","Closed Lost","Closed Lost","Fields Sales",9,38857521,0
"Financial Services","TNS NFO","Philip Walton","001B000000SS42JIAT",35000,"2017-03-29",733,"Closed","006B0000003n2jbIAA","true","true","Allergy Free LP 189",37,"Philip Walton","005B0000003CnfHIAS","Simple","Closed Won","Closed Won","Fields Sales",8,38857521,100
"Healthcare & Life Sciences","Ampro Computers","Wayne Blackwell","001B000000SS42KIAT",14750,"2017-06-16",691,"Closed","006B0000003n2jcIAA","true","true","Ampro Computers 195",107,"Wayne Blackwell","005B0000003CnfUIAS","Channel (Partner)","Closed Won","Closed Won","Fields Sales",8,38857521,100
"Agriculture","Westover Financial","Alicia Harrison","001B000000SS42LIAT",5000,"2017-06-29",684,"Closed","006B0000003n2jdIAA","true","true","RM Technology systems 204",145,"Alicia Harrison","005B0000003CnfZIAS","Simple","Closed Won","Closed Won","Fields Sales",8,38857521,100
"Machinery","Analogic Corporation","Alicia Harrison","001B000000UkRxpIAF",5000,"2017-10-12",522,"Omitted","006B0000003n2jeIAA","true","false","United Surgical Partners 235",83,"Rachel Reilly","005B0000003CnfYIAS","Simple","Closed Lost","Closed Lost","Reseller",9,38857521,0
"Shipping","Bluepoint","Noah Kelly","001B000000SS4rRIAT",100000,"2018-08-29",256,"Closed","006B0000003n2jfIAA","true","true","Bluepoint 15",81,"Noah Kelly","005B0000003CnfJIAS","Simple","Closed Won","Closed Won","Reseller",8,38857521,100
"Communications","Synchrono Inc","Alyssa Williams","001B000000SS4rSIAT",75000,"2017-09-02",643,"Closed","006B0000003n2jgIAA","true","true","Painted Word 62",107,"Amy Shaw","005B0000003CnfgIAC","Simple","Closed Won","Closed Won","Fields Sales",8,38857521,100
"Communications","Synchrono Inc","Alyssa Williams","001B000000SS4rSIAT",7500,"2017-11-07",579,"Closed","006B0000003n2jhIAA","true","true","Painted Word 64",107,"Sheri Nunez","005B0000003CnfTIAS","Simple","Closed Won","Closed Won","Fields Sales",8,38857521,100
"Communications","Synchrono Inc","Alyssa Williams","001B000000SS4rSIAT",150000,"2018-08-15",282,"Omitted","006B0000003n2jiIAA","true","false","Painted Word 68",109,"John Peck","005B0000003CnffIAC","Simple","Closed Lost","Closed Lost","Fields Sales",9,38857521,0
"Communications","Synchrono Inc","Alyssa Williams","001B000000SS4rSIAT",25000,"2018-09-02",186,"Omitted","006B0000003n2jjIAA","true","false","Painted Word 90",0,"Philip Walton","005B0000003CnfHIAS","Simple","Closed Lost","Closed Lost","Reseller",9,38857521,0
"Communications","Synchrono Inc","Alyssa Williams","001B000000SS4rSIAT",12500,"2018-03-04",388,"Closed","006B0000003n2jkIAA","true","true","Painted Word 95",50,"Noah Kelly","005B0000003CnfJIAS","Simple","Closed Won","Closed Won","Fields Sales",8,38857521,100
"Construction","Dime Community Bancshares Inc","Dennis Huffman","001B000000SS42RIAT",39000,"2017-07-31",664,"Omitted","006B0000003n2jlIAA","true","false","Dime Community Bancshares Inc 139",99,"Dennis Huffman","005B0000003CnfIIAS","Simple","Closed Lost","Closed Lost","Fields Sales",9,38857521,0
"Agriculture","Philips Automotive Modules","Sheri Nunez","001B000000SS42TIAT",32100,"2017-10-24",504,"Closed","006B0000003n2jmIAA","true","true","Philips Automotive Modules 160",73,"Sheri Nunez","005B0000003CnfTIAS","Simple","Closed Won","Closed Won","Reseller",8,38857521,100
"Apparel","Stringer Business Systems","Philip Walton","001B000000WJEAEIA5",15000,"2018-05-29",293,"Omitted","006B0000003n2jnIAA","true","false","Stringer Business Systems 174",71,"Philip Walton","005B0000003CnfHIAS","Simple","Closed Lost","Closed Lost","Fields Sales",9,38857521,0
"Consulting","Telemetric Corporation","Jordan Wolf","001B000000WJEAkIAP",8,"2018-12-29",92,"Closed","006B0000003n2k8IAA","true","true","Telemetric Corporation 198",113,"Jordan Wolf","005B0000003CnfQIAS","Simple","Closed Won","Closed Won","Telesales",8,38857500,100
"Utilities","Pegasus Solutions Companies","Amy Shaw","001B000000SS44AIAT",5000,"2018-01-12",423,"Closed","006B0000003n2kMIAQ","true","true","Pegasus Solutions Companies 192",71,"Amy Shaw","005B0000003CnfgIAC","Simple","Closed Won","Closed Won","Fields Sales",8,39012125,100
"Biotechnology","Memorial Hermann Health System","Sheri Nunez","001B000000SS44EIAT",50500,"2018-04-28",316,"Omitted","006B0000003n2kVIAQ","true","false","Memorial Hermann Health System 78",53,"Alicia Harrison","005B0000003CnfZIAS","Simple","Closed Lost","Closed Lost","Fields Sales",9,27794206,0
"Utilities","Southern Pacific Rail Corporation","Amy Shaw","001B000000lwNtOIAU",50000,"2018-10-10",181,"Omitted","006B0000003n2kZIAQ","true","false","Southern Pacific Rail Corporation 117",37,"Amy Shaw","005B0000003CnfgIAC","Simple","Closed Lost","Closed Lost","Fields Sales",9,13665530,0
"Food & Beverage","First Communications","Jordan Wolf","001B000000sxKFBIA2",212500,"2017-10-09",527,"Closed","006B0000003n2khIAA","true","true","First Communications 224",32,"Jordan Wolf","005B0000003CnfQIAS","Channel (Partner)","Closed Won","Closed Won","Fields Sales",8,45434619,100
"Energy","i2c Inc","Alyssa Williams","001B000000SS44UIAT",12509,"2018-10-11",156,"Closed","006B0000003n2kjIAA","true","true","i2c Inc 249",63,"Alyssa Williams","005B0000003CnfXIAS","Simple","Closed Won","Closed Won","Fields Sales",8,13364295,100
"Manufacturing","Keyware","Megan Kaufman","001B000000SS44eIAD",5000,"2017-06-28",631,"Closed","006B0000003n2koIAA","true","true","Keyware 123",37,"Megan Kaufman","005B0000003CnfRIAS","Channel (Partner)","Closed Won","Closed Won","Telesales",8,53359491,100
"Other","Integrated Device Technology","Allison Allen","001B000000SS4stIAD",175000,"2019-01-21",53,"Closed","006B0000003n2lDIAQ","true","true","Integrated Device Technology 115",109,"Rachel Reilly","005B0000003CnfYIAS","Simple","Closed Won","Closed Won","Reseller",8,8307147,100
"Telecommunications","Williams International Co. L.L.C.","Alyssa Williams","001B000000lwNtTIAU",400000,"2018-03-30",394,"Closed","006B0000003n2lKIAQ","true","true","Williams International Co. L.L.C. 53",73,"Amy Shaw","005B0000003CnfgIAC","Channel (Partner)","Closed Won","Closed Won","Reseller",8,32604518,100
"Not For Profit","Sunbelt","Amy Shaw","001B000000SS4t9IAD",0,"2018-03-01",371,"Closed","006B0000003n2lXIAQ","true","true","Sunbelt 45",0,"Amy Shaw","005B0000003CnfgIAC","Simple","Closed Won","Closed Won","Fields Sales",8,32072572,100
"Other","ServiceLane.com","Sheri Nunez","001B000000WJEAxIAP",12000,"2017-05-12",740,"Omitted","006B0000003n2lsIAA","true","false","ServiceLane.com 11",122,"Sheri Nunez","005B0000003CnfTIAS","Simple","Closed Lost","Closed Lost","Reseller",9,38857500,0
"Apparel","Justice Telecom","Beth Crawford","001B000000bwMa7IAE",6490,"2017-07-07",729,"Closed","006B0000003n2ltIAA","true","true","Justice Telecom 22",165,"Beth Crawford","005B0000003CnfKIAS","Simple","Closed Won","Closed Won","Reseller",8,38857500,100
"Apparel","Justice Telecom","Beth Crawford","001B000000bwMa7IAE",50000,"2018-05-30",404,"Omitted","006B0000003n2luIAA","true","false","Justice Telecom 24",129,"Ann Jones","005B0000003CnfWIAS","Channel (Partner)","Closed Lost","Closed Lost","Fields Sales",9,38857500,0
"Environmental","Allegheny Ludlum-Vandergrift","Kristen Hughes","001B000000SS4sgIAD",26089,"2018-11-08",134,"Omitted","006B0000003n2lvIAA","true","false","Allegheny Ludlum-Vandergrift 38",91,"Kristen Hughes","005B0000003CnfSIAS","Simple","Closed Lost","Closed Lost","Fields Sales",9,38857500,0
"Insurance","Celebrity Partners","Jordan Wolf","001B000000bwMa8IAE",75000,"2017-08-17",721,"Omitted","006B0000003n2lwIAA","true","false","Celebrity Partners 53",159,"Jordan Wolf","005B0000003CnfQIAS","Channel (Partner)","Closed Lost","Closed Lost","Fields Sales",9,38857500,0
"Energy","Electronic Tele-Communications","Rachel Reilly","001B000000SS45WIAT",25000,"2019-06-16",29,"Best Case","006B0000003n2lxIAA","false","false","Electronic Tele-Communications 63",51,"Rachel Reilly","005B0000003CnfYIAS","Simple","Closed Lost","Qualification","Reseller",2,18803861,20
"Hospitality","GroupWare Solutions","Megan Kaufman","001B000000lwNtZIAU",50000,"2018-12-04",121,"Omitted","006B0000003n2lyIAA","true","false","GroupWare Solutions 162",107,"Megan Kaufman","005B0000003CnfRIAS","Simple","Closed Lost","Closed Lost","Reseller",9,38857500,0
"Healthcare & Life Sciences","Salire Corp","Jordan Wolf","001B000000SS45bIAD",32895,"2017-10-06",536,"Omitted","006B0000003n2lzIAA","true","false","Salire Corp 200",79,"Jordan Wolf","005B0000003CnfQIAS","Simple","Closed Lost","Closed Lost","Reseller",9,46132786,0
"Communications","Trancentive Property Mgt L L C","Allison Allen","001B000000SS4soIAD",35005,"2018-04-01",440,"Omitted","006B0000003n2m0IAA","true","false","Alcatel-Lucent Enterprise 242",115,"Megan Kaufman","005B0000003CnfRIAS","Simple","Closed Lost","Closed Lost","Reseller",9,38857500,0
"Engineering","ACS / Midas Tm Division","Alyssa Williams","001B000000SS4ssIAD",32500,"2017-11-15",487,"Omitted","006B0000003n2m1IAA","true","false","ACS / Midas Tm Division 65",173,"Alyssa Williams","005B0000003CnfXIAS","Simple","Closed Lost","Closed Lost","Fields Sales",9,38857500,0
"Media","Global Cloud Ltd","Philip Walton","001B000000bwMa9IAE",4000,"2018-08-31",202,"Omitted","006B0000003n2m2IAA","true","false","Global Cloud Ltd 73",167,"Philip Walton","005B0000003CnfHIAS","Simple","Closed Lost","Closed Lost","Fields Sales",9,38857500,0
"Engineering","Caterpillar Work Tools","Alicia Harrison","001B000000bwMaAIAU",9875,"2018-03-16",358,"Closed","006B0000003n2m3IAA","true","true","Caterpillar Work Tools 110",36,"Alicia Harrison","005B0000003CnfZIAS","Simple","Closed Won","Closed Won","Reseller",8,38857500,100
"Agriculture","Serveron Corporation","Philip Walton","001B000000SS4suIAD",15000,"2018-05-27",335,"Omitted","006B0000003n2m4IAA","true","false","Serveron Corporation 127",119,"Philip Walton","005B0000003CnfHIAS","Channel (Partner)","Closed Lost","Closed Lost","Reseller",9,38857500,0
"Agriculture","Serveron Corporation","Philip Walton","001B000000SS4suIAD",15000,"2018-03-26",433,"Omitted","006B0000003n2m5IAA","true","false","Serveron Corporation 128",167,"Alicia Harrison","005B0000003CnfZIAS","Channel (Partner)","Closed Lost","Closed Lost","Fields Sales",9,38857500,0
"Retail","Sage Computer Associates","Noah Kelly","001B000000SS4swIAD",5000,"2018-09-22",251,"Omitted","006B0000003n2m6IAA","true","false","CaminoSoft Corp. 143",175,"Alyssa Williams","005B0000003CnfXIAS","Channel (Partner)","Closed Lost","Closed Lost","Reseller",9,38857500,0
"Retail","Sage Computer Associates","Noah Kelly","001B000000SS4swIAD",5000,"2017-10-01",540,"Omitted","006B0000003n2m7IAA","true","false","CaminoSoft Corp. 144",125,"Rachel Reilly","005B0000003CnfYIAS","Simple","Closed Lost","Closed Lost","Reseller",9,38857500,0
"Communications","Sage Technologies","John Peck","001B000000bwMaBIAU",5000,"2018-05-07",457,"Omitted","006B0000003n2m8IAA","true","false","Sage Technologies 159",152,"John Peck","005B0000003CnffIAC","Simple","Closed Lost","Closed Lost","Reseller",9,38857500,0
"Education","IBM Software / Tivoli / Vallent","Allison Allen","001B000000bwMaCIAU",10000,"2018-05-08",328,"Omitted","006B0000003n2m9IAA","true","false","IBM Software / Tivoli / Vallent 162",149,"Allison Allen","005B0000003CnfGIAS","Channel (Partner)","Closed Lost","Closed Lost","Fields Sales",9,38857500,0
"Government","Jones Plastic and Engineering Company","Sheri Nunez","001B000000SS452IAD",10000,"2017-08-22",586,"Omitted","006B0000003n2mAIAQ","true","false","Jones Plastic and Engineering Company 171",166,"Sheri Nunez","005B0000003CnfTIAS","Simple","Closed Lost","Closed Lost","Reseller",9,38857500,0
"Government","Jones Plastic and Engineering Company","Sheri Nunez","001B000000SS452IAD",47000,"2017-09-01",705,"Closed","006B0000003n2mBIAQ","true","true","Jones Plastic and Engineering Company 176",177,"John Peck","005B0000003CnffIAC","Channel (Partner)","Closed Won","Closed Won","Reseller",8,38857500,100
"Engineering","Vetcentric Inc","Sheri Nunez","001B000000SS4syIAD",100000,"2018-02-20",432,"Omitted","006B0000003n2mCIAQ","true","false","Stratify 179",145,"Dennis Huffman","005B0000003CnfIIAS","Channel (Partner)","Closed Lost","Closed Lost","Fields Sales",9,38857500,0
"Apparel","RMS Consulting","Amy Shaw","001B000000SS4tXIAT",3000,"2017-12-31",504,"Omitted","006B0000003n2mDIAQ","true","false","RMS Consulting 185",167,"Amy Shaw","005B0000003CnfgIAC","Channel (Partner)","Closed Lost","Closed Lost","Reseller",9,44303452,0
"Education","Laser Logic Incorporated","Rachel Reilly","001B000000SS4t0IAD",7500,"2018-03-07",419,"Omitted","006B0000003n2mEIAQ","true","false","AcrossWorld Communications 190",158,"Wayne Blackwell","005B0000003CnfUIAS","Simple","Closed Lost","Closed Lost","Reseller",9,38857500,0
"Education","Oregon Dental Service","Alicia Harrison","001B000000bwMaDIAU",50000,"2018-11-09",181,"Omitted","006B0000003n2mFIAQ","true","false","Oregon Dental Service 227",87,"Alicia Harrison","005B0000003CnfZIAS","Simple","Closed Lost","Closed Lost","Fields Sales",9,38857500,0
"Education","Oregon Dental Service","Alicia Harrison","001B000000bwMaDIAU",52500,"2018-03-30",435,"Omitted","006B0000003n2mGIAQ","true","false","Oregon Dental Service 233",161,"Amy Shaw","005B0000003CnfgIAC","Channel (Partner)","Closed Lost","Closed Lost","Fields Sales",9,38857500,0
"Energy","BAE Systems Inc","Amy Shaw","001B000000WJEB5IAP",5000,"2018-11-23",190,"Omitted","006B0000003n2mHIAQ","true","false","BAE Systems Inc 7",149,"Amy Shaw","005B0000003CnfgIAC","Simple","Closed Lost","Closed Lost","Reseller",9,38857500,0
"Retail","Information Flows","Noah Kelly","001B000000WJEB6IAP",200000,"2018-03-08",418,"Omitted","006B0000003n2mIIAQ","true","false","Information Flows 28",156,"Noah Kelly","005B0000003CnfJIAS","Channel (Partner)","Closed Lost","Closed Lost","Reseller",9,38857500,0
"Utilities","Noble Fiber Technologies","Amy Shaw","001B000000SS4t3IAD",30982,"2017-09-13",583,"Closed","006B0000003n2mJIAQ","true","true","Network Magic Unlimited 46",107,"Dennis Huffman","005B0000003CnfIIAS","Channel (Partner)","Closed Won","Closed Won","Fields Sales",8,38857500,100
"Biotechnology","Honor Schools","Sheri Nunez","001B000000SS456IAD",25000,"2017-06-03",772,"Omitted","006B0000003n2mKIAQ","true","false","Responsum 55",135,"John Peck","005B0000003CnffIAC","Channel (Partner)","Closed Lost","Closed Lost","Fields Sales",9,38857500,0
"Retail","Focused Developments","Alicia Harrison","001B000000bwMaEIAU",4000,"2017-06-15",713,"Omitted","006B0000003n2mLIAQ","true","false","SpecificImpressions.com 62",89,"Noah Kelly","005B0000003CnfJIAS","Simple","Closed Lost","Closed Lost","Reseller",9,38857500,0
"Healthcare & Life Sciences","Direct Marketing Results","Dennis Huffman","001B000000SS45xIAD",5000,"2018-10-13",228,"Omitted","006B0000003n2mQIAQ","true","false","Direct Marketing Results 123",101,"Dennis Huffman","005B0000003CnfIIAS","Simple","Closed Lost","Closed Lost","Reseller",9,16173541,0
"Government","Trip.com","Amy Shaw","001B000000WJEBVIA5",7500,"2017-07-14",611,"Closed","006B0000003n2mWIAQ","true","true","Trip.com 72",45,"Amy Shaw","005B0000003CnfgIAC","Channel (Partner)","Closed Won","Closed Won","Reseller",8,52698628,100
"Manufacturing","Exceed Sales","Jordan Wolf","001B000000WJEBWIA5",75000,"2018-09-25",170,"Omitted","006B0000003n2mfIAA","true","false","Exceed Sales 165",91,"Jordan Wolf","005B0000003CnfQIAS","Channel (Partner)","Closed Lost","Closed Lost","Fields Sales",9,14790947,0
"Telecommunications","Electronic Transaction Corp","Alyssa Williams","001B000000SS46DIAT",75000,"2018-12-31",119,"Omitted","006B0000003n2mjIAA","true","false","Electronic Transaction Corp 209",175,"Sheri Nunez","005B0000003CnfTIAS","Simple","Closed Lost","Closed Lost","Fields Sales",9,10902867,0
"Consulting","United Way Of The Texas Gulf Coast","Jordan Wolf","001B000000SS4toIAD",175000,"2019-06-25",37,"Best Case","006B0000003n2msIAA","false","false","United Way Of The Texas Gulf Coast 150",56,"Jordan Wolf","005B0000003CnfQIAS","Simple","Closed Lost","Discovery","Fields Sales",0,4397483,0
"Construction","GE Healthcare / Life Sciences","Dennis Huffman","001B000000SS46iIAD",15000,"2019-05-22",25,"Commit","006B0000003n2n8IAA","false","false","GE Healthcare / Life Sciences 83",37,"Dennis Huffman","005B0000003CnfIIAS","Simple","Closed Lost","Discovery","Reseller",0,2951645,0
"Engineering","Kelso & Company","Philip Walton","001B000000sxKFHIA2",325500,"2017-09-23",545,"Closed","006B0000003n2nQIAQ","true","true","Kelso & Company 4",27,"Philip Walton","005B0000003CnfHIAS","Simple","Closed Won","Closed Won","Fields Sales",8,45980508,100
"Transportation","SunBridge","Kristen Hughes","001B000000WJEC7IAP",57500,"2017-10-28",512,"Omitted","006B0000003n2njIAA","true","false","SunBridge 24",95,"Kristen Hughes","005B0000003CnfSIAS","Simple","Closed Lost","Closed Lost","Fields Sales",9,45642734,0
